sm: 0, warp_id: 0, block (0, 0, 1), thread (0, 0, 0), mem start: 32, mem time: 256
sm: 0, warp_id: 1, block (0, 0, 1), thread (0, 0, 1), mem start: 32, mem time: 96
sm: 0, warp_id: 2, block (0, 0, 1), thread (0, 0, 2), mem start: 32, mem time: 96
sm: 0, warp_id: 3, block (0, 0, 1), thread (0, 0, 3), mem start: 32, mem time: 96
sm: 2, warp_id: 0, block (0, 4, 1), thread (0, 0, 0), mem start: 0, mem time: 256
sm: 2, warp_id: 1, block (0, 4, 1), thread (0, 0, 1), mem start: 0, mem time: 96
sm: 2, warp_id: 2, block (0, 4, 1), thread (0, 0, 2), mem start: 32, mem time: 64
sm: 2, warp_id: 3, block (0, 4, 1), thread (0, 0, 3), mem start: 32, mem time: 64
sm: 4, warp_id: 0, block (0, 4, 2), thread (0, 0, 0), mem start: 32, mem time: 288
sm: 4, warp_id: 1, block (0, 4, 2), thread (0, 0, 1), mem start: 32, mem time: 96
sm: 4, warp_id: 2, block (0, 4, 2), thread (0, 0, 2), mem start: 32, mem time: 96
sm: 4, warp_id: 3, block (0, 4, 2), thread (0, 0, 3), mem start: 64, mem time: 64
sm: 6, warp_id: 0, block (0, 4, 3), thread (0, 0, 0), mem start: 96, mem time: 288
sm: 6, warp_id: 1, block (0, 4, 3), thread (0, 0, 1), mem start: 96, mem time: 96
sm: 6, warp_id: 2, block (0, 4, 3), thread (0, 0, 2), mem start: 96, mem time: 96
sm: 6, warp_id: 3, block (0, 4, 3), thread (0, 0, 3), mem start: 96, mem time: 96
sm: 8, warp_id: 0, block (0, 4, 4), thread (0, 0, 0), mem start: 0, mem time: 224
sm: 8, warp_id: 1, block (0, 4, 4), thread (0, 0, 1), mem start: 0, mem time: 96
sm: 8, warp_id: 2, block (0, 4, 4), thread (0, 0, 2), mem start: 0, mem time: 96
sm: 8, warp_id: 3, block (0, 4, 4), thread (0, 0, 3), mem start: 0, mem time: 96
sm: 10, warp_id: 0, block (0, 3, 5), thread (0, 0, 0), mem start: 32, mem time: 224
sm: 10, warp_id: 1, block (0, 3, 5), thread (0, 0, 1), mem start: 32, mem time: 96
sm: 10, warp_id: 2, block (0, 3, 5), thread (0, 0, 2), mem start: 32, mem time: 96
sm: 10, warp_id: 3, block (0, 3, 5), thread (0, 0, 3), mem start: 64, mem time: 64
sm: 12, warp_id: 0, block (0, 2, 6), thread (0, 0, 0), mem start: 192, mem time: 224
sm: 12, warp_id: 1, block (0, 2, 6), thread (0, 0, 1), mem start: 192, mem time: 96
sm: 12, warp_id: 2, block (0, 2, 6), thread (0, 0, 2), mem start: 192, mem time: 96
sm: 12, warp_id: 3, block (0, 2, 6), thread (0, 0, 3), mem start: 192, mem time: 96
sm: 14, warp_id: 0, block (0, 1, 7), thread (0, 0, 0), mem start: 64, mem time: 224
sm: 14, warp_id: 1, block (0, 1, 7), thread (0, 0, 1), mem start: 64, mem time: 96
sm: 14, warp_id: 2, block (0, 1, 7), thread (0, 0, 2), mem start: 64, mem time: 96
sm: 14, warp_id: 3, block (0, 1, 7), thread (0, 0, 3), mem start: 64, mem time: 96
sm: 16, warp_id: 0, block (0, 1, 1), thread (0, 0, 0), mem start: 64, mem time: 256
sm: 16, warp_id: 1, block (0, 1, 1), thread (0, 0, 1), mem start: 64, mem time: 96
sm: 16, warp_id: 2, block (0, 1, 1), thread (0, 0, 2), mem start: 64, mem time: 96
sm: 16, warp_id: 3, block (0, 1, 1), thread (0, 0, 3), mem start: 64, mem time: 96
sm: 18, warp_id: 0, block (0, 5, 1), thread (0, 0, 0), mem start: 32, mem time: 256
sm: 18, warp_id: 1, block (0, 5, 1), thread (0, 0, 1), mem start: 32, mem time: 128
sm: 18, warp_id: 2, block (0, 5, 1), thread (0, 0, 2), mem start: 64, mem time: 96
sm: 18, warp_id: 3, block (0, 5, 1), thread (0, 0, 3), mem start: 64, mem time: 96
sm: 20, warp_id: 0, block (0, 5, 2), thread (0, 0, 0), mem start: 64, mem time: 256
sm: 20, warp_id: 1, block (0, 5, 2), thread (0, 0, 1), mem start: 64, mem time: 128
sm: 20, warp_id: 2, block (0, 5, 2), thread (0, 0, 2), mem start: 64, mem time: 128
sm: 20, warp_id: 3, block (0, 5, 2), thread (0, 0, 3), mem start: 64, mem time: 128
sm: 22, warp_id: 0, block (0, 5, 3), thread (0, 0, 0), mem start: 96, mem time: 288
sm: 22, warp_id: 1, block (0, 5, 3), thread (0, 0, 1), mem start: 96, mem time: 96
sm: 22, warp_id: 2, block (0, 5, 3), thread (0, 0, 2), mem start: 96, mem time: 96
sm: 22, warp_id: 3, block (0, 5, 3), thread (0, 0, 3), mem start: 96, mem time: 96
sm: 24, warp_id: 0, block (0, 5, 4), thread (0, 0, 0), mem start: 32, mem time: 224
sm: 24, warp_id: 1, block (0, 5, 4), thread (0, 0, 1), mem start: 32, mem time: 96
sm: 24, warp_id: 2, block (0, 5, 4), thread (0, 0, 2), mem start: 32, mem time: 96
sm: 24, warp_id: 3, block (0, 5, 4), thread (0, 0, 3), mem start: 32, mem time: 96
sm: 26, warp_id: 0, block (0, 4, 5), thread (0, 0, 0), mem start: 64, mem time: 224
sm: 26, warp_id: 1, block (0, 4, 5), thread (0, 0, 1), mem start: 64, mem time: 96
sm: 26, warp_id: 2, block (0, 4, 5), thread (0, 0, 2), mem start: 96, mem time: 64
sm: 26, warp_id: 3, block (0, 4, 5), thread (0, 0, 3), mem start: 96, mem time: 64
sm: 28, warp_id: 0, block (0, 3, 6), thread (0, 0, 0), mem start: 96, mem time: 192
sm: 28, warp_id: 1, block (0, 3, 6), thread (0, 0, 1), mem start: 96, mem time: 64
sm: 28, warp_id: 2, block (0, 3, 6), thread (0, 0, 2), mem start: 96, mem time: 64
sm: 28, warp_id: 3, block (0, 3, 6), thread (0, 0, 3), mem start: 96, mem time: 64
sm: 30, warp_id: 0, block (0, 2, 7), thread (0, 0, 0), mem start: 96, mem time: 192
sm: 30, warp_id: 1, block (0, 2, 7), thread (0, 0, 1), mem start: 96, mem time: 64
sm: 30, warp_id: 2, block (0, 2, 7), thread (0, 0, 2), mem start: 96, mem time: 64
sm: 30, warp_id: 3, block (0, 2, 7), thread (0, 0, 3), mem start: 96, mem time: 64
sm: 32, warp_id: 0, block (0, 2, 1), thread (0, 0, 0), mem start: 96, mem time: 256
sm: 32, warp_id: 1, block (0, 2, 1), thread (0, 0, 1), mem start: 96, mem time: 128
sm: 32, warp_id: 2, block (0, 2, 1), thread (0, 0, 2), mem start: 96, mem time: 128
sm: 32, warp_id: 3, block (0, 2, 1), thread (0, 0, 3), mem start: 96, mem time: 128
sm: 34, warp_id: 0, block (0, 6, 1), thread (0, 0, 0), mem start: 64, mem time: 288
sm: 34, warp_id: 1, block (0, 6, 1), thread (0, 0, 1), mem start: 64, mem time: 128
sm: 34, warp_id: 2, block (0, 6, 1), thread (0, 0, 2), mem start: 64, mem time: 128
sm: 34, warp_id: 3, block (0, 6, 1), thread (0, 0, 3), mem start: 96, mem time: 96
sm: 36, warp_id: 0, block (0, 6, 2), thread (0, 0, 0), mem start: 96, mem time: 288
sm: 36, warp_id: 1, block (0, 6, 2), thread (0, 0, 1), mem start: 96, mem time: 96
sm: 36, warp_id: 2, block (0, 6, 2), thread (0, 0, 2), mem start: 96, mem time: 96
sm: 36, warp_id: 3, block (0, 6, 2), thread (0, 0, 3), mem start: 96, mem time: 96
sm: 38, warp_id: 0, block (0, 6, 3), thread (0, 0, 0), mem start: 160, mem time: 288
sm: 38, warp_id: 1, block (0, 6, 3), thread (0, 0, 1), mem start: 160, mem time: 96
sm: 38, warp_id: 2, block (0, 6, 3), thread (0, 0, 2), mem start: 160, mem time: 96
sm: 38, warp_id: 3, block (0, 6, 3), thread (0, 0, 3), mem start: 160, mem time: 96
sm: 40, warp_id: 0, block (0, 6, 4), thread (0, 0, 0), mem start: 32, mem time: 256
sm: 40, warp_id: 1, block (0, 6, 4), thread (0, 0, 1), mem start: 32, mem time: 96
sm: 40, warp_id: 2, block (0, 6, 4), thread (0, 0, 2), mem start: 32, mem time: 96
sm: 40, warp_id: 3, block (0, 6, 4), thread (0, 0, 3), mem start: 32, mem time: 96
sm: 42, warp_id: 0, block (0, 5, 5), thread (0, 0, 0), mem start: 96, mem time: 224
sm: 42, warp_id: 1, block (0, 5, 5), thread (0, 0, 1), mem start: 96, mem time: 96
sm: 42, warp_id: 2, block (0, 5, 5), thread (0, 0, 2), mem start: 96, mem time: 96
sm: 42, warp_id: 3, block (0, 5, 5), thread (0, 0, 3), mem start: 96, mem time: 96
sm: 44, warp_id: 0, block (0, 4, 6), thread (0, 0, 0), mem start: 160, mem time: 224
sm: 44, warp_id: 1, block (0, 4, 6), thread (0, 0, 1), mem start: 160, mem time: 64
sm: 44, warp_id: 2, block (0, 4, 6), thread (0, 0, 2), mem start: 128, mem time: 96
sm: 44, warp_id: 3, block (0, 4, 6), thread (0, 0, 3), mem start: 160, mem time: 64
sm: 46, warp_id: 0, block (0, 3, 7), thread (0, 0, 0), mem start: 128, mem time: 224
sm: 46, warp_id: 1, block (0, 3, 7), thread (0, 0, 1), mem start: 128, mem time: 96
sm: 46, warp_id: 2, block (0, 3, 7), thread (0, 0, 2), mem start: 128, mem time: 96
sm: 46, warp_id: 3, block (0, 3, 7), thread (0, 0, 3), mem start: 128, mem time: 96
sm: 48, warp_id: 0, block (0, 3, 1), thread (0, 0, 0), mem start: 32, mem time: 256
sm: 48, warp_id: 1, block (0, 3, 1), thread (0, 0, 1), mem start: 32, mem time: 96
sm: 48, warp_id: 2, block (0, 3, 1), thread (0, 0, 2), mem start: 32, mem time: 96
sm: 48, warp_id: 3, block (0, 3, 1), thread (0, 0, 3), mem start: 32, mem time: 96
sm: 50, warp_id: 0, block (0, 7, 1), thread (0, 0, 0), mem start: 0, mem time: 256
sm: 50, warp_id: 1, block (0, 7, 1), thread (0, 0, 1), mem start: 0, mem time: 96
sm: 50, warp_id: 2, block (0, 7, 1), thread (0, 0, 2), mem start: 32, mem time: 64
sm: 50, warp_id: 3, block (0, 7, 1), thread (0, 0, 3), mem start: 32, mem time: 64
sm: 52, warp_id: 0, block (0, 7, 2), thread (0, 0, 0), mem start: 32, mem time: 256
sm: 52, warp_id: 1, block (0, 7, 2), thread (0, 0, 1), mem start: 32, mem time: 96
sm: 52, warp_id: 2, block (0, 7, 2), thread (0, 0, 2), mem start: 32, mem time: 96
sm: 52, warp_id: 3, block (0, 7, 2), thread (0, 0, 3), mem start: 64, mem time: 64
sm: 54, warp_id: 0, block (0, 7, 3), thread (0, 0, 0), mem start: 96, mem time: 256
sm: 54, warp_id: 1, block (0, 7, 3), thread (0, 0, 1), mem start: 96, mem time: 96
sm: 54, warp_id: 2, block (0, 7, 3), thread (0, 0, 2), mem start: 96, mem time: 96
sm: 54, warp_id: 3, block (0, 7, 3), thread (0, 0, 3), mem start: 96, mem time: 96
sm: 56, warp_id: 0, block (0, 7, 4), thread (0, 0, 0), mem start: 0, mem time: 224
sm: 56, warp_id: 1, block (0, 7, 4), thread (0, 0, 1), mem start: 0, mem time: 96
sm: 56, warp_id: 2, block (0, 7, 4), thread (0, 0, 2), mem start: 0, mem time: 96
sm: 56, warp_id: 3, block (0, 7, 4), thread (0, 0, 3), mem start: 0, mem time: 96
sm: 58, warp_id: 0, block (0, 6, 5), thread (0, 0, 0), mem start: 64, mem time: 192
sm: 58, warp_id: 1, block (0, 6, 5), thread (0, 0, 1), mem start: 64, mem time: 64
sm: 58, warp_id: 2, block (0, 6, 5), thread (0, 0, 2), mem start: 64, mem time: 64
sm: 58, warp_id: 3, block (0, 6, 5), thread (0, 0, 3), mem start: 64, mem time: 64
sm: 60, warp_id: 0, block (0, 5, 6), thread (0, 0, 0), mem start: 192, mem time: 224
sm: 60, warp_id: 1, block (0, 5, 6), thread (0, 0, 1), mem start: 192, mem time: 96
sm: 60, warp_id: 2, block (0, 5, 6), thread (0, 0, 2), mem start: 192, mem time: 96
sm: 60, warp_id: 3, block (0, 5, 6), thread (0, 0, 3), mem start: 192, mem time: 96
sm: 62, warp_id: 0, block (0, 4, 7), thread (0, 0, 0), mem start: 64, mem time: 192
sm: 62, warp_id: 1, block (0, 4, 7), thread (0, 0, 1), mem start: 64, mem time: 96
sm: 62, warp_id: 2, block (0, 4, 7), thread (0, 0, 2), mem start: 64, mem time: 96
sm: 62, warp_id: 3, block (0, 4, 7), thread (0, 0, 3), mem start: 64, mem time: 96
sm: 64, warp_id: 0, block (0, 0, 2), thread (0, 0, 0), mem start: 32, mem time: 256
sm: 64, warp_id: 1, block (0, 0, 2), thread (0, 0, 1), mem start: 32, mem time: 96
sm: 64, warp_id: 2, block (0, 0, 2), thread (0, 0, 2), mem start: 64, mem time: 64
sm: 64, warp_id: 3, block (0, 0, 2), thread (0, 0, 3), mem start: 64, mem time: 64
sm: 66, warp_id: 0, block (0, 0, 3), thread (0, 0, 0), mem start: 64, mem time: 256
sm: 66, warp_id: 1, block (0, 0, 3), thread (0, 0, 1), mem start: 64, mem time: 96
sm: 66, warp_id: 2, block (0, 0, 3), thread (0, 0, 2), mem start: 64, mem time: 96
sm: 66, warp_id: 3, block (0, 0, 3), thread (0, 0, 3), mem start: 64, mem time: 96
sm: 68, warp_id: 0, block (0, 0, 4), thread (0, 0, 0), mem start: 96, mem time: 288
sm: 68, warp_id: 1, block (0, 0, 4), thread (0, 0, 1), mem start: 96, mem time: 96
sm: 68, warp_id: 2, block (0, 0, 4), thread (0, 0, 2), mem start: 96, mem time: 96
sm: 68, warp_id: 3, block (0, 0, 4), thread (0, 0, 3), mem start: 128, mem time: 64
sm: 70, warp_id: 0, block (0, 0, 5), thread (0, 0, 0), mem start: 32, mem time: 224
sm: 70, warp_id: 1, block (0, 0, 5), thread (0, 0, 1), mem start: 32, mem time: 64
sm: 70, warp_id: 2, block (0, 0, 5), thread (0, 0, 2), mem start: 32, mem time: 64
sm: 70, warp_id: 3, block (0, 0, 5), thread (0, 0, 3), mem start: 32, mem time: 64
sm: 72, warp_id: 0, block (0, 7, 5), thread (0, 0, 0), mem start: 96, mem time: 192
sm: 72, warp_id: 1, block (0, 7, 5), thread (0, 0, 1), mem start: 96, mem time: 64
sm: 72, warp_id: 2, block (0, 7, 5), thread (0, 0, 2), mem start: 96, mem time: 64
sm: 72, warp_id: 3, block (0, 7, 5), thread (0, 0, 3), mem start: 64, mem time: 96
sm: 74, warp_id: 0, block (0, 6, 6), thread (0, 0, 0), mem start: 128, mem time: 192
sm: 74, warp_id: 1, block (0, 6, 6), thread (0, 0, 1), mem start: 128, mem time: 96
sm: 74, warp_id: 2, block (0, 6, 6), thread (0, 0, 2), mem start: 128, mem time: 96
sm: 74, warp_id: 3, block (0, 6, 6), thread (0, 0, 3), mem start: 128, mem time: 96
sm: 76, warp_id: 0, block (0, 5, 7), thread (0, 0, 0), mem start: 96, mem time: 192
sm: 76, warp_id: 1, block (0, 5, 7), thread (0, 0, 1), mem start: 96, mem time: 64
sm: 76, warp_id: 2, block (0, 5, 7), thread (0, 0, 2), mem start: 96, mem time: 64
sm: 76, warp_id: 3, block (0, 5, 7), thread (0, 0, 3), mem start: 96, mem time: 64
sm: 78, warp_id: 0, block (0, 1, 2), thread (0, 0, 0), mem start: 64, mem time: 288
sm: 78, warp_id: 1, block (0, 1, 2), thread (0, 0, 1), mem start: 64, mem time: 128
sm: 78, warp_id: 2, block (0, 1, 2), thread (0, 0, 2), mem start: 64, mem time: 128
sm: 78, warp_id: 3, block (0, 1, 2), thread (0, 0, 3), mem start: 96, mem time: 96
sm: 80, warp_id: 0, block (0, 1, 3), thread (0, 0, 0), mem start: 96, mem time: 256
sm: 80, warp_id: 1, block (0, 1, 3), thread (0, 0, 1), mem start: 96, mem time: 96
sm: 80, warp_id: 2, block (0, 1, 3), thread (0, 0, 2), mem start: 96, mem time: 96
sm: 80, warp_id: 3, block (0, 1, 3), thread (0, 0, 3), mem start: 96, mem time: 128
sm: 82, warp_id: 0, block (0, 1, 4), thread (0, 0, 0), mem start: 160, mem time: 288
sm: 82, warp_id: 1, block (0, 1, 4), thread (0, 0, 1), mem start: 160, mem time: 64
sm: 82, warp_id: 2, block (0, 1, 4), thread (0, 0, 2), mem start: 160, mem time: 64
sm: 82, warp_id: 3, block (0, 1, 4), thread (0, 0, 3), mem start: 160, mem time: 64
sm: 84, warp_id: 0, block (0, 1, 5), thread (0, 0, 0), mem start: 32, mem time: 256
sm: 84, warp_id: 1, block (0, 1, 5), thread (0, 0, 1), mem start: 32, mem time: 96
sm: 84, warp_id: 2, block (0, 1, 5), thread (0, 0, 2), mem start: 32, mem time: 96
sm: 84, warp_id: 3, block (0, 1, 5), thread (0, 0, 3), mem start: 32, mem time: 96
sm: 86, warp_id: 0, block (0, 0, 6), thread (0, 0, 0), mem start: 96, mem time: 224
sm: 86, warp_id: 1, block (0, 0, 6), thread (0, 0, 1), mem start: 96, mem time: 96
sm: 86, warp_id: 2, block (0, 0, 6), thread (0, 0, 2), mem start: 96, mem time: 96
sm: 86, warp_id: 3, block (0, 0, 6), thread (0, 0, 3), mem start: 96, mem time: 96
sm: 88, warp_id: 0, block (0, 7, 6), thread (0, 0, 0), mem start: 160, mem time: 224
sm: 88, warp_id: 1, block (0, 7, 6), thread (0, 0, 1), mem start: 160, mem time: 96
sm: 88, warp_id: 2, block (0, 7, 6), thread (0, 0, 2), mem start: 160, mem time: 96
sm: 88, warp_id: 3, block (0, 7, 6), thread (0, 0, 3), mem start: 160, mem time: 96
sm: 90, warp_id: 0, block (0, 6, 7), thread (0, 0, 0), mem start: 96, mem time: 256
sm: 90, warp_id: 1, block (0, 6, 7), thread (0, 0, 1), mem start: 96, mem time: 96
sm: 90, warp_id: 2, block (0, 6, 7), thread (0, 0, 2), mem start: 96, mem time: 96
sm: 90, warp_id: 3, block (0, 6, 7), thread (0, 0, 3), mem start: 96, mem time: 128
sm: 92, warp_id: 0, block (0, 2, 2), thread (0, 0, 0), mem start: 0, mem time: 288
